Geography,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PctBachDeg25_Over,PctUnemployed16_Over,PctMarriedHouseholds,BirthRate
"Page County, Virginia",199.2,430.1,44851,23726,16.9,43.5,44.9,2.52,8.1,9.3,53.00896287,5.963302752
"Patrick County, Virginia",178.3,339.1,34885,18045,21.9,46.1,50,2.31,8,8.3,51.42490372,2.944539737
"Pittsylvania County, Virginia",176.8,399,44207,62194,14.6,44.2,46.7,2.36,9.4,7.7,51.5913601,4.194566305
"Powhatan County, Virginia",175.1,459.6,75539,28031,7.1,42.4,44.9,2.63,19.3,4.9,65.72456321,5.615292712
"Prince Edward County, Virginia",188.8,410.4,37543,22952,25.5,29,34.5,2.49,12.4,7,44.6214064,7.608005083
"Prince George County, Virginia",172.1,437,61792,37862,10.5,36,38.3,3.03,14,10.6,61.87173482,4.855936413
"Prince William County, Virginia",150.1,373.7,91886,451721,7.2,33.3,34.7,3.17,23.2,5.4,60.21316724,6.857756326
"Pulaski County, Virginia",185.8,390.6,46186,34332,14.7,43.9,47.1,2.3,11.4,7.4,50.35228128,6.174957118
"Rappahannock County, Virginia",149.6,401.1,62800,7378,9.3,48.9,49.2,2.26,19.9,2.9,58.75343721,5.182481752
"Richmond County, Virginia",176.2,452.4,42204,8908,19.7,40.8,50.3,2.47,8.8,8.7,50.22608696,8.755129959
"Roanoke County, Virginia",155.9,400.5,61935,94409,8.2,42.3,45,2.4,22.7,5.1,53.38800964,5.404491669
"Rockbridge County, Virginia",159.2,338,48497,22354,13,47.1,49.2,2.39,13.8,4.1,53.65382552,6.476146578
"Rockingham County, Virginia",156.1,400.2,55798,78593,11.7,40.6,42.3,2.57,14.4,5.4,58.19746835,4.834403227
"Russell County, Virginia",212,365.4,37378,27891,17.9,43,44.8,2.51,8,8,52.3494794,3.255738239
"Scott County, Virginia",196.1,330.8,36290,22126,20.8,44.4,47,2.34,8.1,9.4,55.30440345,2.248441674
"Shenandoah County, Virginia",171.4,407.6,45430,43190,12,42.3,45.1,2.47,12.2,6,53.77866168,7.406593407
"Smyth County, Virginia",202.4,389.1,37831,31470,19.7,42.8,46.1,2.43,9.2,6.4,49.67565455,6.188734455
"Southampton County, Virginia",181.8,405.7,46521,18109,15.3,45.7,45.2,2.53,10.1,7.2,52.5142173,5.455508475
"Spotsylvania County, Virginia",172.5,449.4,75714,130475,9.2,35.7,37.8,2.97,17.9,6.2,61.33152745,6.051314143
"Stafford County, Virginia",175.6,450.5,92647,142003,5.9,33.5,35.9,3.08,22.2,5.5,66.38405714,4.970818505
"Surry County, Virginia",182.2,426.5,48707,6709,12.9,47.1,47.8,2.56,15.4,10.7,53.5982009,4.897660819
"Sussex County, Virginia",208.4,486.9,37748,11715,23.9,35.9,47.3,2.08,5.5,6.9,41.31470308,3.682946357
"Tazewell County, Virginia",208.1,376.4,38292,42899,19.2,40.8,46.1,2.38,8.5,8,52.52355316,6.033920417
"Warren County, Virginia",202.5,428.2,60714,39083,11.3,39,41.5,2.62,13.9,7.2,52.57588415,5.544668588
"Washington County, Virginia",176.7,420.8,43353,54591,14.5,43.2,46.1,2.35,14.4,6.9,52.00899749,5.091597145
"Westmoreland County, Virginia",179.9,450.9,48232,17629,15,45.2,48.6,2.51,11.5,9.7,47.27822581,3.666942377
"Wise County, Virginia",223.4,367.3,38528,39718,21.9,37.8,41.5,2.46,9,11,49.41654648,3.651138835
"Wythe County, Virginia",175.9,433.5,41132,29119,15.6,42,45.5,2.44,9.8,9.6,52.06945966,2.933713923
"York County, Virginia",152.3,389.3,81169,67837,5.5,37.4,40.8,2.73,22.8,5.8,64.84977289,4.925163106
"Alexandria city, Virginia",135.4,317.6,86419,153511,9.6,35.9,36.2,2.21,29.8,4.5,36.21615156,6.214827502
"Bristol city, Virginia",226.6,265.7,34099,17141,21.8,39.7,43.7,2.22,16.1,10.7,40.54159109,3.86837478
"Buena Vista city, Virginia",240.8,578.2,38331,6618,17.2,33.6,34.3,2.26,11,7.3,45.92619657,11.88769415
"Charlottesville city, Virginia",178.2,718.9,45890,46597,25.9,29.3,30.3,2.39,23.3,4.3,30.49233889,2.753790712
"Chesapeake city, Virginia",182.2,458.3,66625,235429,9.8,35,38.2,2.75,18.8,7.5,54.73147035,5.746827092
"Colonial Heights city, Virginia",159.3,493.6,52355,17820,11.5,37.7,43.5,2.44,13.7,8.3,42.69631298,3.664122137
"Danville city, Virginia",207.4,539,33646,42082,23.6,38.3,44.5,2.2,11.3,12.7,33.34770192,3.236583838
"Falls Church city, Virginia",137.6,447.7,125635,13892,3.2,37.1,38.6,2.57,34.4,4.2,53.27138986,3.066180935
"Franklin city, Virginia",221.7,468,38583,8490,22.5,35.2,40.3,2.41,16.1,13.7,30.84274544,4.927099045
"Fredericksburg city, Virginia",180.3,566.3,51195,28118,16.8,29.5,29.3,2.46,21.2,8.9,34.21626984,4.269052202
"Hampton city, Virginia",190.3,491.9,47615,136454,15.2,33.3,38,2.51,14.9,9.8,39.69588213,4.72938218
"Harrisonburg city, Virginia",150.5,591.1,38541,52538,28.3,24.5,22.8,2.69,20.6,6.5,34.66999817,2.564793362
"Hopewell city, Virginia",244.9,547.6,40122,22378,19.5,34.9,38.1,2.53,8.1,12.8,30.50769584,5.969289827
"Lynchburg city, Virginia",194.5,495,40065,79812,25,27,30.4,2.37,19.9,8,37.78393158,5.96087761
"Manassas city, Virginia",155.2,364.1,72510,41764,9.8,32.2,34.1,3.27,17.6,7.5,56.91305397,6.93416809
"Newport News city, Virginia",191.9,457.2,48440,182385,16.7,31.2,34.4,2.5,15,9.1,38.42890855,5.236698785
"Norfolk city, Virginia",193.6,480.5,42567,246393,23.4,28.4,32.4,2.53,15.6,10.9,34.30754208,6.373340936
"Norton city, Virginia",197.3,461,31620,3939,21.6,44.3,37,2.21,14.3,11.1,32.64161526,3.938223938
"Petersburg city, Virginia",224.4,651.3,32749,32477,25.8,37.3,41.1,2.44,9.2,13,27.0092947,4.372408594
"Poquoson city, Virginia",159.2,441.3,84213,12059,5.9,42.8,45.2,2.59,22.4,4.5,62.60232658,4.361370717
"Portsmouth city, Virginia",218.1,473.2,43045,96201,18.3,32.9,36.7,2.54,13.3,11.6,35.93873276,5.954956101
"Radford city, Virginia",193.1,463.1,34267,17403,32.4,22.4,22.3,2.57,20.7,8.8,31.13018076,1.039129729
"Richmond city, Virginia",200.2,475.4,42074,220289,25,32.2,33.7,2.33,21.9,10,23.88562781,4.888983425
"Roanoke city, Virginia",201.2,512.4,40735,99897,20.4,36,40.1,2.29,14.8,8.3,33.55903312,6.673085779
"Salem city, Virginia",186.6,511.5,54195,25432,10.2,40.1,40.9,2.29,17.1,4.8,46.2518666,4.609250399
"Staunton city, Virginia",176.1,537.9,42552,24416,16.5,41.4,42.9,2.21,18.8,5.6,40.5218061,3.909798832
"Suffolk city, Virginia",199.3,472,60735,88161,13.6,36.6,39.4,2.75,16.4,8,52.22007099,5.719705952
"Virginia Beach city, Virginia",168.1,435.6,67676,452745,8.6,33.5,37,2.63,22.2,6.1,50.40904224,5.841796248
"Waynesboro city, Virginia",210.5,596.9,44843,21491,14.6,37.4,40.6,2.32,11.7,4.9,40.80389769,7.446377985
"Williamsburg city, Virginia",162.1,1014.2,46954,15052,20.1,25.6,23.6,2.37,27.1,8.5,36.33759365,2.181467181
"Winchester city, Virginia",192.8,401.9,44537,27284,13.4,35.3,39.7,2.47,15.3,6.7,38.67835596,6.642835865
"Adams County, Washington",135.7,340.3,47423,19254,19,28.3,29.9,3.24,9.1,9.6,58.13512582,9.861143799
"Asotin County, Washington",188.3,371.3,44055,22105,16.3,43.6,44.9,2.34,12.9,9.6,49.15961888,3.801794105
"Benton County, Washington",163.9,452.4,58750,190309,14.6,34.7,36.1,2.72,18.3,6.9,53.57704286,6.253360451
"Chelan County, Washington",154.7,451.5,49174,75644,14,37.7,41.2,2.7,15.2,7.5,52.98314358,4.217134885
"Clallam County, Washington",181.3,480.2,47185,73486,16.2,47.8,52.1,2.27,14.8,9.9,47.16324511,5.956137583
"Clark County, Washington",178.2,427.4,61747,459495,9.9,36.6,38.3,2.71,17.8,8.6,53.29996737,5.742215991
"Columbia County, Washington",194.4,476.2,45465,3944,15.5,47.7,50.9,2.31,16.3,10.4,51.06761566,5.205479452
"Cowlitz County, Washington",184.1,455.5,44235,103468,20.6,40.5,42.2,2.54,9.8,10.7,49.8428187,6.298743004
"Douglas County, Washington",157.4,449.9,51151,40534,15.5,36.1,38.3,2.76,12.8,6.5,59.49197861,4.643274854
"Ferry County, Washington",161.1,358.2,39992,7582,22.4,46.8,49.5,2.39,11.5,12.2,47.82468579,4.978354978
"Franklin County, Washington",163.5,420.9,55006,88807,17.3,29.5,28.8,3.4,10.5,7.2,53.35894843,8.388253538
"Garfield County, Washington",115,293.6,46404,2219,14.2,50.4,47.7,2.3,19.6,7.4,58.13221406,13.55498721
"Grant County, Washington",173.1,417.9,50388,93259,15.8,32,32.4,3,10.7,10.1,54.65445682,6.92564347
"Grays Harbor County, Washington",194.6,518.4,43205,71122,19.6,40.8,44.6,2.51,9.9,14.3,45.9899335,5.713875529
"Island County, Washington",143.5,462,59358,80593,10.3,41.5,47,2.33,20.6,9,56.3290566,6.113924051
"Jefferson County, Washington",154.9,480.9,50964,30466,14.1,54.3,56.8,2.18,21.5,9.5,50.49173,5.305574211
"King County, Washington",152.7,464.2,75738,2117125,11.3,36.4,38,2.45,29.6,6.3,46.8503058,5.202119227
"Chippewa County, Michigan",170.7,414.6,38989,38033,19.9,38.5,40,2.46,11.8,11.7,48.96763592,5.803003309
"Clare County, Michigan",203.8,464.3,34655,30553,24.5,46.1,46.8,2.28,7.7,13.2,48.18559034,3.935222672
"Clinton County, Michigan",149.1,345.3,60650,77390,10,38.7,40.5,2.64,19.1,6.5,56.7383997,4.540884719
"Crawford County, Michigan",178.6,416.1,41101,13801,16.5,48.8,49.7,2.3,11.1,12,52.92240511,3.797949107
"Delta County, Michigan",178.5,393.1,43338,36377,14.8,45.3,47.4,2.3,13.6,9.2,50.08606949,3.887024609
"Dickinson County, Michigan",172.2,358.9,45174,25788,14.4,45,47.5,2.31,15,7,50.68270187,6.088280061
"Eaton County, Michigan",178.6,413.5,57088,108801,9.8,39.6,42.6,2.45,16.1,7.8,50.74257426,5.808302127
"Emmet County, Michigan",168,489.1,50191,33161,11.6,42.7,45.7,2.33,20.2,8.4,54.49526814,5.055523086
"Genesee County, Michigan",192.1,514.3,41787,410849,21.5,38,41.1,2.48,12.1,13.2,42.98472784,4.863978687
"Gladwin County, Michigan",196.5,475.7,39721,25164,18.5,47.9,49.9,2.3,7.6,11,53.97810219,6.390328152
"Gogebic County, Michigan",195.2,324.9,33600,15431,20.9,45.1,51.3,2.1,12.3,9.5,44.13291796,2.773556231
"Grand Traverse County, Michigan",151.8,521.2,55592,91636,9.7,40.2,43.6,2.46,18.9,6.6,51.77868993,5.649660209
"Gratiot County, Michigan",168.3,447.1,43509,41540,18.5,37.4,41.5,2.45,8.6,8.5,51.59010601,3.748722027
"Hillsdale County, Michigan",187.5,396.3,44780,45941,16.6,41.5,42.5,2.5,9.6,9,54.65468838,6.309693152
"Houghton County, Michigan",155.4,373.8,39126,36380,18.7,28.8,38,2.51,19.2,7.2,46.68361787,5.373953975
"Huron County, Michigan",181.6,448.5,41678,31883,14.1,46.6,49.2,2.3,9.5,7.8,52.9590728,5.169018707
"Ingham County, Michigan",165.5,514.9,45840,286085,20.1,30.6,32.7,2.4,20.4,9,38.80436161,4.499226458
"Ionia County, Michigan",173,417.8,48681,64223,15.2,37.3,38.7,2.72,10.6,10.4,54.4314684,6.91088967
"Iosco County, Michigan",193.4,406.2,37122,25345,19,51.6,52.5,2.2,10,12.1,48.10896588,4.012841091
"Iron County, Michigan",167.6,344.3,35961,11348,17.3,52.6,54.3,2.07,13.6,9,44.82566766,4.683342203
"Isabella County, Michigan",180.1,446.7,42431,70698,28.3,26.3,26.1,2.61,15.5,11.3,40.69583553,3.814938787
"Jackson County, Michigan",193.8,473.5,46670,159494,15.4,39,42,2.48,13.7,10.3,48.6970012,5.040777373
"Kalamazoo County, Michigan",171,464.2,46283,260263,18.9,32.6,35.5,2.47,21,9.1,44.01690236,4.426449927
"Kalkaska County, Michigan",200.7,469.6,40709,17260,17.4,43.4,45.4,2.38,8.2,10.4,50.21572721,4.369071572
"Kent County, Michigan",160.2,473.3,53342,636369,15.3,33.9,35.8,2.63,21.8,7.7,49.44003503,5.98333118
"Keweenaw County, Michigan",113.5,337.6,40411,2168,12.7,53.2,55.4,2.1,13.5,7,49.03846154,7.936507937
"Lake County, Michigan",213.1,395.3,30990,11424,29.2,51.6,51.3,2.53,5.6,13.2,47.01030928,4.422110553
"Lapeer County, Michigan",186.7,484.6,51510,88373,11.1,42.6,44,2.64,11.2,10.5,59.89229545,5.407671348
"Leelanau County, Michigan",132.5,372.9,60622,21981,8.9,51.3,53.3,2.31,22.3,7.1,59.85488412,5.887253541
"Lenawee County, Michigan",177.6,425.8,48194,98573,14.5,39,42.8,2.46,12.7,8.6,50.8534401,4.630064868
"Livingston County, Michigan",162.7,433.5,74341,187316,6.1,41.2,42.9,2.66,22.2,5.9,61.49898521,4.426612689
"Luce County, Michigan",175.3,366,37590,6415,20.6,42,48.1,2.27,8.6,11.6,48.67480017,5.95959596
"Mackinac County, Michigan",160.3,422.5,39359,10890,15.4,50,51.7,2.07,11.9,12.5,47.97465924,3.381147541
"Macomb County, Michigan",177.8,506.5,54865,864840,12.3,39.4,42.1,2.52,15.2,9,48.70666718,4.707995158
"Manistee County, Michigan",180,494.9,37477,24461,16.6,45.8,51,2.28,12.3,11.5,50.35495957,4.046522898
"Marquette County, Michigan",168.7,430.4,44735,67215,15.4,38.4,39.9,2.38,19.1,8.1,47.85878973,3.31536726
"Mason County, Michigan",190.2,350.2,42896,28783,16.3,44.5,46.9,2.3,12.6,10.7,50.78380144,5.960854093
"Mecosta County, Michigan",177.2,448.5,41572,43067,23,33.5,37.7,2.61,13.6,12.2,50.00646078,4.303337477
"Menominee County, Michigan",185,310.1,42191,23548,14.5,46,48.7,2.19,11.3,8.5,47.10178856,5.558035714
"Midland County, Michigan",154.4,438.7,51629,83632,11.9,39.7,42.4,2.45,19.4,8.5,55.87649106,5.762837089
"Missaukee County, Michigan",190.2,417.3,40455,14903,16.1,41.7,44.3,2.52,8.8,11,55.69382884,4.809286899
"Monroe County, Michigan",182.8,371,57719,149568,10.4,41,42.6,2.55,12.2,8.3,54.45138818,6.102216567
"Montcalm County, Michigan",184.5,475.3,41554,62945,20.4,39.2,41,2.59,8.7,11.2,52.62411957,5.831775701
"Montmorency County, Michigan",207.6,484.4,37961,9259,15.7,54.3,54.9,2.27,6.8,16,49.21375921,3.263086336
"Muskegon County, Michigan",189.2,499,42588,172790,20,38.1,40.4,2.56,12.6,11.9,47.8461777,4.97414174
"Newaygo County, Michigan",197,393.2,41588,47948,21,41.5,43.3,2.58,9.3,10.1,56.1044768,5.713998795
"Oakland County, Michigan",159.6,495.7,69378,1242304,10,39.4,42.1,2.47,25.4,7.5,50.74358294,5.31040591
"Oceana County, Michigan",153.3,370.2,41166,26105,20.1,41.2,43.8,2.6,10.6,8.7,57.87008756,4.930928626
"Ogemaw County, Michigan",177,402.9,35968,20937,21.4,48.5,49.8,2.22,7.5,12.4,49.31100276,6.505717916
"Ontonagon County, Michigan",171.1,396,35387,6007,17.8,55.5,55.6,2.01,10.8,13.7,49.22178988,3.276955603
"Osceola County, Michigan",193.7,541.3,40235,23058,20.4,41.5,43.9,2.6,8.7,10.3,51.59301131,4.211869815
"Oscoda County, Michigan",199.5,404.3,33975,8251,20.5,50.8,51.9,2.27,6.7,13.2,51.92620727,5.041436464
"Otsego County, Michigan",194.7,457,44693,24253,13.2,43.6,44.9,2.38,13.5,8.2,54.27882684,3.216430924
"Ottawa County, Michigan",142.2,404.1,60577,279955,9.1,33.9,35.7,2.74,20.9,6.1,61.39920858,5.371555803
"Presque Isle County, Michigan",171.8,414.7,39420,12841,16.1,52.8,53.5,2.13,10.6,13.1,54.9758293,3.178368121
"Roscommon County, Michigan",201.8,496.9,35002,23898,20.7,53.9,54.8,2.06,9.1,14.2,46.59100754,5.928954766
"Saginaw County, Michigan",175.3,475.4,44548,193307,17.4,38.3,42,2.44,13.6,11.1,44.57106192,5.433100881
"St. Clair County, Michigan",189.5,488,50303,159875,13.8,41.8,43.8,2.47,11,10.4,52.59030604,4.646092865
"St. Joseph County, Michigan",178.9,404.4,43687,61018,18.5,38.1,40,2.59,9,8.6,53.0124624,7.077326343
"Sanilac County, Michigan",170.6,368.5,42081,41475,14.7,43.1,45.1,2.55,7.8,10.7,53.63022113,5.167988801
"Schoolcraft County, Michigan",213.7,439.1,39539,8173,17.6,49.5,50.2,2.38,9.3,15.6,50.62883884,4.633204633
"Shiawassee County, Michigan",184.9,505,47882,68619,15.3,39.9,43,2.49,10.3,10.3,54.85789339,5.135520685
"Tuscola County, Michigan",181.9,459,43186,53777,15.6,42.2,44.6,2.49,9.4,9.3,56.45418701,6.304667879
"Van Buren County, Michigan",188.2,431.5,46715,75077,16.5,40.3,42,2.61,12.6,8.4,51.82077766,4.666419111
"Washtenaw County, Michigan",157,463.9,62861,358880,14.3,32.3,34.6,2.43,25.4,7.4,44.8630013,4.120270702
"Wayne County, Michigan",197.9,528.7,41434,1759335,24.1,36.1,39.2,2.63,13.4,14.9,37.15664456,5.676241281
"Wexford County, Michigan",199.2,528.4,39807,33003,19,40.3,43,2.56,11.4,9.5,53.94934112,5.24857851
"Aitkin County, Minnesota",164.1,453.5494221,40676,15702,14.9,52.7,53.4,2.05,10.8,7.3,53.34472335,7.867412141
"Anoka County, Minnesota",167.9,453.5494221,70868,344151,7.6,37.2,38.7,2.7,20,6.2,56.43371868,6.191392604
"Becker County, Minnesota",189.3,453.5494221,51116,33386,14.6,42,42.9,2.41,15.6,3.5,54.03332842,5.235358086
"Beltrami County, Minnesota",162.6,453.5494221,43706,45672,18.5,31.8,34.7,2.59,17.4,10.6,44.60242547,6.561704535
"Benton County, Minnesota",155.3,453.5494221,52531,39710,13.6,35.3,35.6,2.45,15.2,6.7,48.05527124,7.207014542
"Clinton County, New York",182.1,532.7,51576,81251,16.6,38.2,40.5,2.32,11.9,6.9,46.37281334,4.275633043
"Columbia County, New York",171.5,472.2,55047,61509,11.6,45.8,47.9,2.37,14.4,6.7,48.37725381,3.458303859
"Cortland County, New York",181.4,522,48357,48494,13.8,35.7,36.4,2.54,13.4,6.1,45.19096738,3.084671073
"Delaware County, New York",160.7,461,45860,46053,14.4,45.7,47,2.31,11.5,9.5,46.37628491,4.154951578
"Dutchess County, New York",164.8,486.7,70925,295754,10.2,40.1,42.4,2.61,18.3,8.7,52.60510813,3.807095815
"Erie County, New York",183.3,544.1,50134,922578,15.2,38.4,42.3,2.33,17.3,7,41.89674177,4.815862717
"Essex County, New York",164.5,463.7,50182,38478,12,44,48.1,2.37,13.4,7.9,51.22478386,3.244249435
"Franklin County, New York",180.9,466.4,45704,50660,18.5,37.5,43.2,2.36,9,8.8,45.98391477,5.8605919
"Fulton County, New York",183.4,504.2,45409,53992,17.8,41.4,44.4,2.4,8.7,9.3,46.51047978,4.80729036
"Genesee County, New York",181.6,520.5,52410,58937,12,41.4,43.9,2.45,12,6.7,51.63756371,6.002939584
"Greene County, New York",187.3,505.7,52597,47625,11.1,43.4,46.7,2.55,12.2,9.1,50.69751616,4.626911005
"Hamilton County, New York",194.2,526.9,49137,4712,11.4,51.7,52.7,3.38,13.8,9.7,54.2877907,4.529616725
"Herkimer County, New York",150.9,480.7,44148,63100,16.5,40.9,44,2.4,13.1,8.7,48.48832759,4.741223308
"Jefferson County, New York",177,500.8,49781,117635,15.1,30.5,33.6,2.54,11.8,10.6,52.37213921,7.816390603
"Kings County, New York",153.8,452.3,47547,2636735,23.4,32.8,35.8,2.74,20.1,10,37.53039861,5.227447022
"Lewis County, New York",173.6,470.1,47542,26957,14.3,40.4,42.3,2.54,8.7,8.3,56.38106082,5.441478439
"Livingston County, New York",172,462.2,49920,64717,14.7,39.5,41,2.42,13,5.4,49.85552712,5.026285421
"Madison County, New York",174.2,505.4,51600,71849,11.8,39.3,41.8,2.55,14.8,5.1,51.08794887,3.238819733
"Monroe County, New York",169.5,498.9,51371,749600,14.2,36.5,40.3,2.41,20.3,7.7,42.50944076,4.726955479
"Montgomery County, New York",170.1,511,40923,49642,18.9,39,42.5,2.5,10.1,8.9,43.69722094,6.043704855
"Nassau County, New York",145.8,514.3,98312,1361350,6.7,39.6,43,3.03,23.7,6.4,60.66267248,4.449778611
"New York County, New York",145.2,463.9,75459,1644518,17.7,36.1,37.1,2.09,31.6,7.5,26.66790153,3.548717991
"Niagara County, New York",177.1,507.2,49274,212652,13.4,41.5,43.8,2.39,13.6,7.6,45.31301605,4.92078633
"Oneida County, New York",173.9,501.5,48350,232500,17.7,39.4,42.9,2.43,13.9,7.4,43.49984589,5.551134489
"Onondaga County, New York",180.4,525.9,52892,468463,16.1,37.1,40.4,2.43,19,7.2,43.36469148,4.874120242
"Ontario County, New York",162.9,484.6,58473,109561,11.5,42.2,44.2,2.38,17.2,6.4,49.43957335,5.349606951
"Orange County, New York",173.6,503.5,69228,377647,13.4,34.9,38.6,2.9,17.2,7.3,54.25001996,5.163242125
"Orleans County, New York",184.2,495.9,46577,41582,15.5,41,43.3,2.43,9.6,9,48.97602398,4.445372013
"Hyde County, North Carolina",205,459.8,36891,5526,21.9,39,48.3,2.44,8.4,12.7,44.7804878,7.282913165
"Iredell County, North Carolina",181,477.1,54026,169866,12.7,38.5,41.1,2.69,17.7,9.8,54.94720247,4.754928419
"Jackson County, North Carolina",177.2,458.4,38130,41265,23.5,34.8,38,2.33,17.5,6.2,46.28352971,3.120443278
"Johnston County, North Carolina",184.9,459.8,50055,185660,15.3,36.4,38.6,2.85,14.8,8.9,55.35270379,5.25474016
"Jones County, North Carolina",205.2,464.6,38928,10013,22.2,42.5,48,2.43,8.1,11.6,49.05705996,5.365126677
"Lee County, North Carolina",182.2,462.5,46073,59660,18.5,36,39.9,2.75,14.7,10.3,49.61803263,5.257747099
"Lenoir County, North Carolina",194,524.4,35991,58106,22.1,39.9,43.9,2.47,8.8,13.1,41.64131133,6.174096999
"Lincoln County, North Carolina",165.7,460.5,49676,81035,16,41.1,42.7,2.62,14.3,10.2,58.69781973,4.703203954
"McDowell County, North Carolina",181.8,483.7,37881,44989,17.6,40.9,45,2.52,9.4,11.1,50.04906771,5.517241379
"Macon County, North Carolina",161.4,440,37884,34201,18.1,46.4,50.9,2.16,14.9,7.3,51.66065911,5.212083268
"Madison County, North Carolina",143.7,416.2,38445,21139,19.9,42.4,45.9,2.36,12.9,7.3,55.25443787,4.341957255
"Martin County, North Carolina",177,491.5,35930,23357,19.7,43.5,46.9,2.54,9.9,14.7,46.87668573,3.58004827
"Mecklenburg County, North Carolina",158.6,451,59049,1034070,15.2,33.4,35.6,2.57,28.4,8.9,43.17563049,5.350191695
"Mitchell County, North Carolina",180.9,450.3,36795,15246,19.2,44.8,47.7,2.36,11,8.6,54.12988651,3.813691779
"Montgomery County, North Carolina",153.3,447.6,38530,27548,21.1,39.7,42.3,2.52,10.6,10.5,47.12882509,5.65466173
"Moore County, North Carolina",160.3,483.6,51650,94352,15.5,42.8,46.5,2.44,19.7,8,53.44479444,3.694753236
"Nash County, North Carolina",189,452.5,43348,93919,18.2,39.2,42.5,2.52,13.6,11.9,44.16932255,6.201122458
"New Hanover County, North Carolina",164,442.6,49905,220358,18,36.4,39.3,2.33,24.7,8.9,43.02116444,4.936553568
"Northampton County, North Carolina",189.9,452.7,32063,20426,25.8,44.2,49.7,2.35,7.2,15.9,37.33487833,2.454590083
"Onslow County, North Carolina",179.9,477.5,47201,186311,14.3,24.6,29,2.75,13.5,11.6,55.8526976,9.215177413
"Orange County, North Carolina",157.3,436.7,60304,141354,14.1,32.7,33.9,2.47,25.4,6.4,47.73130301,4.202796852
"Pamlico County, North Carolina",151.3,499.4,43097,12781,17.9,47.8,51.3,2.36,12.7,9.7,55.41340462,5.096660808
"Pasquotank County, North Carolina",203.9,473.4,44596,39829,18.8,35.5,39.7,2.61,12.3,10.1,50.71982281,5.029990529
"Pender County, North Carolina",169.8,463.5,45453,57611,15.4,41.6,42.9,2.67,14,9.8,52.10630899,3.014449427
"Perquimans County, North Carolina",159.5,400,41328,13440,17.1,46.8,48.4,2.44,12.3,12.7,53.49090909,7.827059262
"Person County, North Carolina",198.1,477.8,45841,39259,18.7,41.5,43.4,2.52,11.3,11.9,45.40726776,6.140350877
"Pitt County, North Carolina",171.8,457.6,41765,175842,23.4,30.3,32.5,2.48,19.1,12.1,39.1929128,4.079871327
"Polk County, North Carolina",156.1,423.9,45464,20366,14.7,48.9,53.4,2.3,18.6,8.8,53.52258361,4.746227709
"Randolph County, North Carolina",177.5,502.3,41770,142799,16.7,39.7,41.4,2.59,10.6,9,51.94562166,5.037284569
"Richmond County, North Carolina",205.3,490.6,34665,45437,24.7,38,40.8,2.42,8.9,13.8,40.42576242,4.202401372
"Robeson County, North Carolina",193,409.6,30414,134197,33.1,33.8,36.6,2.87,9,12.1,40.63093964,5.971635486
"Rockingham County, North Carolina",194.3,520.3,39606,91758,19.4,41.8,44.6,2.42,9.8,10.5,47.35119602,5.072603135
"Rowan County, North Carolina",189.8,508.1,44973,139142,18,38.8,41.5,2.6,12.3,11.5,49.51174146,4.889016456
"Rutherford County, North Carolina",174.8,443.9,35629,66390,21.5,41.9,45,2.48,10.4,12.2,50.04540982,5.963398511
"Sampson County, North Carolina",183.6,454.3,33876,63724,29,38,40.3,2.7,9,10.4,46.21993127,5.0513461
"Scotland County, North Carolina",189.6,487.8,32782,35509,28.9,36.8,40.9,2.59,10.1,15.5,40.22006771,6.79431748
"Stanly County, North Carolina",180.6,495.6,41921,60714,16.5,40.6,42.9,2.47,11.4,12.2,51.88659315,4.858604091
"Stokes County, North Carolina",184.5,460.9,45065,46351,13.8,44.2,45.4,2.43,10.2,9.3,54.66048081,4.962317706
"Surry County, North Carolina",198.1,481.1,37915,72743,18.9,40.4,44.2,2.47,10,6.9,52.0415485,4.712239256
"Swain County, North Carolina",215.3,516.6,34788,14434,19.3,40.1,41.3,2.58,10.7,7.7,49.22848113,5.56091289
"Transylvania County, North Carolina",137,396.8,44490,33211,16.2,48.6,52.8,2.31,17.4,6.9,56.36203995,4.726613966
"Tyrrell County, North Carolina",222.3,431,32773,4070,28.3,41.8,49.3,2.45,3.9,14.1,47.13990351,7.088989442
"Union County, North Carolina",158.6,429.7,64381,222742,10.8,36.3,38.2,2.99,24.1,7.7,64.70421858,5.847110572
"Vance County, North Carolina",198.5,490.4,33609,44568,27,37.6,41.4,2.65,8.2,12.2,36.87986015,6.678752027
"Wake County, North Carolina",155.3,451.4,66950,1024198,11.5,34.3,36.1,2.61,31.2,6.4,51.32490011,4.983090176
"Warren County, North Carolina",185.4,447.7,33869,20155,22.8,44,48.2,2.48,9.3,10.7,43.18792376,4.839989421
"Washington County, North Carolina",167.9,453.6,32867,12385,26.8,44.6,45.3,2.4,6.1,15.5,42.52300614,3.122648608
"Watauga County, North Carolina",136,414,41942,52906,26.2,28,31.4,2.35,21.2,9.5,43.16363273,2.832748693
"Wayne County, North Carolina",191.3,458.6,36890,124132,23.3,34.4,39.1,2.56,13,12.4,44.50241952,5.691592675
"Wilkes County, North Carolina",183.5,441.2,33398,68502,23.4,42.6,45,2.48,9.1,11.7,54.17912625,3.78540305
"Wilson County, North Carolina",199.1,452.4,39268,81714,23.9,38.2,41.4,2.5,12.6,10.1,42.64912664,4.940815895
